Date,AAPL,MSFT,NVDA,TSLA
2022-05-24,139.15536499023438,256.0715026855469,161.35916137695312,209.3866729736328
2022-05-25,139.31398010253906,258.9318542480469,169.55999755859375,219.60000610351562
2022-05-26,142.54600524902344,262.265625,178.3101806640625,235.91000366210938
2022-05-27,148.35569763183594,269.50531005859375,187.89944458007812,253.2100067138672
2022-05-31,147.56259155273438,268.1540832519531,186.510986328125,252.75332641601562
2022-06-01,147.43370056152344,268.69659423828125,182.9949188232422,246.7899932861328
2022-06-02,149.91224670410156,270.8270263671875,195.70069885253906,258.3333435058594
2022-06-03,144.13229370117188,266.329345703125,186.99044799804688,234.51666259765625
2022-06-06,144.88575744628906,265.07672119140625,187.64971923828125,238.27999877929688
2022-06-07,147.43370056152344,268.77545166015625,189.0481414794922,238.8866729736328
2022-06-08,146.69017028808594,266.7139892578125,186.31063842773438,241.86666870117188
2022-06-09,141.41580200195312,261.17083740234375,180.31607055664062,239.7066650390625
2022-06-10,135.95309448242188,249.53208923339844,169.58584594726562,232.22999572753906
2022-06-13,130.74815368652344,238.9487762451172,156.32789611816406,215.73666381835938
2022-06-14,131.62057495117188,241.14830017089844,158.21617126464844,220.88999938964844
2022-06-15,134.26768493652344,248.3189239501953,165.11990356445312,233.0
2022-06-16,128.9437713623047,241.62171936035156,155.86831665039062,213.10000610351562
2022-06-17,130.43087768554688,244.26507568359375,158.65579223632812,216.75999450683594
2022-06-21,134.7039031982422,250.2718505859375,165.5095672607422,237.0366668701172
2022-06-22,134.18838500976562,249.67019653320312,163.45143127441406,236.086669921875
2022-06-23,137.0832977294922,255.32188415527344,162.10264587402344,235.07000732421875
2022-06-24,140.4442138671875,264.04107666015625,171.10447692871094,245.7066650390625
2022-06-27,140.4442138671875,261.26947021484375,168.5367889404297,244.9199981689453
2022-06-28,136.2604217529297,252.9744110107422,159.6748504638672,232.663330078125
2022-06-29,138.03506469726562,256.7027587890625,155.27883911132812,228.49000549316406
2022-06-30,135.54660034179688,253.31961059570312,151.4523468017578,224.47332763671875
2022-07-01,137.73764038085938,256.031982421875,145.09808349609375,227.26333618164062
2022-07-05,140.3450469970703,259.25732421875,149.5040740966797,233.06666564941406
2022-07-06,141.6934051513672,262.5714111328125,151.16258239746094,231.73333740234375
2022-07-07,145.0939483642578,264.7314758300781,158.4359893798828,244.5433349609375
2022-07-08,145.7780303955078,264.0015869140625,158.2361602783203,250.76333618164062
2022-07-11,143.62664794921875,260.8946838378906,151.3824005126953,234.3433380126953
2022-07-12,144.608154296875,250.2028045654297,150.6830291748047,233.07000732421875
2022-07-13,144.2413330078125,249.26577758789062,151.50228881835938,237.0399932861328
2022-07-14,147.19577026367188,250.60720825195312,153.5803985595703,238.31333923339844
2022-07-15,148.88116455078125,253.21112060546875,157.4768524169922,240.06666564941406
2022-07-18,145.8077850341797,250.77488708496094,160.86376953125,240.54666137695312
2022-07-19,149.70404052734375,255.9827117919922,169.76568603515625,245.52999877929688
2022-07-20,151.72653198242188,258.6852722167969,177.9082794189453,247.5
2022-07-21,154.01670837402344,261.22015380859375,180.33607482910156,271.7066650390625
2022-07-22,152.76751708984375,256.8013610839844,173.03271484375,272.24334716796875
2022-07-25,151.63731384277344,255.29225158691406,170.0854034423828,268.4333190917969
2022-07-26,150.29891967773438,248.4569854736328,165.1798553466797,258.8599853515625
2022-07-27,155.44435119628906,265.0668029785156,177.7384490966797,274.82000732421875
2022-07-28,155.99954223632812,272.63201904296875,179.67665100097656,280.8999938964844
2022-07-29,161.11524963378906,276.9028015136719,181.46505737304688,297.1499938964844
2022-08-01,160.12384033203125,274.21014404296875,184.24253845214844,297.27667236328125
2022-08-02,158.63673400878906,271.063720703125,185.09173583984375,300.586669921875
2022-08-03,164.70419311523438,278.609130859375,188.75840759277344,307.39666748046875
2022-08-04,164.386962890625,279.7730407714844,191.97549438476562,308.6333312988281
2022-08-05,164.15859985351562,279.04315185546875,189.71754455566406,288.1700134277344
2022-08-08,163.6820526123047,276.488525390625,177.76840209960938,290.42333984375
2022-08-09,163.731689453125,278.44146728515625,170.704833984375,283.3333435058594
2022-08-10,168.0205841064453,285.2076721191406,180.80564880371094,294.3566589355469
2022-08-11,167.27598571777344,283.09698486328125,179.25704956054688,286.6300048828125
2022-08-12,170.85995483398438,287.920166015625,186.9200897216797,300.0299987792969
